StockID,CompanyName,StockSymbol,CurrentPrice
1,Tata Consultancy Services,TCS,3520.50
2,Reliance Industries,RELIANCE,1498.75
3,Infosys,INFY,1624.80
4,HDFC Bank,HDFCBANK,1789.25
5,ITC Limited,ITC,452.30
6,Larsen & Toubro,LT,3845.90
7,ICICI Bank,ICICIBANK,1465.40
8,State Bank of India,SBIN,958.20
9,Bharti Airtel,BHARTIARTL,1982.75
10,Axis Bank,AXISBANK,1248.60
11,Mahindra & Mahindra,M&M,3415.30
12,Sun Pharmaceutical,SUNPHARMA,1854.15
13,Maruti Suzuki,MARUTI,13285.50
14,Titan Company,TITAN,3898.40
15,Asian Paints,ASIANPAINT,2578.95
16,UltraTech Cement,ULTRACEMCO,12875.40
17,Bajaj Finance,BAJFINANCE,9345.20
18,Hindustan Unilever,HINDUNILVR,2658.80
19,Wipro,WIPRO,318.75
20,Tech Mahindra,TECHM,1724.60
